Fecha;Suma de Generación;Tipo fuente
2021-04-15;0,67997521;Solar
2021-04-16;2,98219705;Biomasa
2021-04-16;0,21307819;Eólica
2021-04-16;0,67823113;Solar
2021-04-17;2,98410189;Biomasa
2021-04-17;0,22795402;Eólica
2021-04-17;0,72526981;Solar
2021-04-18;2,82407069;Biomasa
2021-04-18;0,21147248;Eólica
2021-04-18;0,87534685;Solar
2021-04-19;2,58036366;Biomasa
2021-04-19;0,27150984;Eólica
2021-04-19;1,03518188;Solar
2021-04-20;2,7832237;Biomasa
2021-04-20;0,28522944;Eólica
2021-04-20;1,087249;Solar
2021-04-21;2,31634556;Biomasa
2021-04-21;0,26541837;Eólica
2021-04-21;1,16172801;Solar
2021-04-22;2,28691661;Biomasa
2021-04-22;0,25829516;Eólica
2021-04-22;1,13486431;Solar
2021-04-23;2,18161732;Biomasa
2021-04-23;0,26177384;Eólica
2021-04-23;1,11948177;Solar
2021-04-24;1,99158337;Biomasa
2021-04-24;0,24311657;Eólica
2021-04-24;0,8054722;Solar
2021-04-25;2,28569526;Biomasa
2021-04-25;0,24188676;Eólica
2021-04-25;0,71199934;Solar
2021-04-26;2,33652935;Biomasa
2021-04-26;0,21342244;Eólica
2021-04-26;0,70941446;Solar
2021-04-27;1,87556028;Biomasa
2021-04-27;0,17945243;Eólica
2021-04-27;0,48109041;Solar
2021-04-28;1,70410757;Biomasa
2021-04-28;0,11135167;Eólica
2021-04-28;0,74161618;Solar
2021-04-29;1,48467994;Biomasa
2021-04-29;0,11487511;Eólica
2021-04-29;0,76371238;Solar
2021-04-30;1,0880785;Biomasa
2021-04-30;0,14520377;Eólica
2021-04-30;0,58014495;Solar
2021-05-01;0,55463435;Biomasa
2021-05-01;0,12159815;Eólica
2021-05-01;0,98549822;Solar
2021-05-02;0,35878008;Biomasa
2021-05-02;0,14930027;Eólica
2021-05-02;0,87734569;Solar
2021-05-03;0,37301396;Biomasa
2021-05-03;0,17707247;Eólica
2021-05-03;0,60378618;Solar
2021-05-04;0,61832996;Biomasa
2021-05-04;0,15577364;Eólica
2021-05-04;0,8265564;Solar
2021-05-05;0,36920971;Biomasa
2021-05-05;0,17170404;Eólica
2021-05-05;0,68639002;Solar
2021-05-06;0,40086753;Biomasa
2021-05-06;0,17688319;Eólica
2021-05-06;0,73443743;Solar
2021-05-07;0,42080368;Biomasa
2021-05-07;0,17670926;Eólica
2021-05-07;0,77812396;Solar
2021-05-08;0,48229803;Biomasa
2021-05-08;0,23339624;Eólica
2021-05-08;0,64690349;Solar
2021-05-09;0,47367943;Biomasa
2021-05-09;0,24539715;Eólica
2021-05-09;0,90824557;Solar
2021-05-10;0,47332462;Biomasa
2021-05-10;0,25488202;Eólica
2021-05-10;0,5856854;Solar
2021-05-11;0,1768903;Biomasa
2021-05-11;0,24649695;Eólica
2021-05-11;0,7548982;Solar
2021-05-12;0,22488429;Biomasa
2021-05-12;0,29942808;Eólica
2021-05-12;0,8458741;Solar
2021-05-13;0,70056154;Biomasa
2021-05-13;0,26705591;Eólica
2021-05-13;0,85245588;Solar
2021-05-14;0,71335749;Biomasa
2021-05-14;0,2653842;Eólica
2021-05-14;0,79005208;Solar
2021-05-15;0,62415981;Biomasa
2021-05-15;0,24027488;Eólica
2021-05-15;0,91973932;Solar
2021-05-16;0,64268094;Biomasa
2021-05-16;0,2585055;Eólica
2021-05-16;0,48353913;Solar
2021-05-17;0,64439674;Biomasa
2021-05-17;0,23686579;Eólica
2021-05-17;0,39596945;Solar
2021-05-18;0,70756055;Biomasa
2021-05-18;0,19605512;Eólica
2021-05-18;0,75713724;Solar
2021-05-19;0,61186721;Biomasa
2021-05-19;0,17512794;Eólica
2021-05-19;0,633527;Solar
2021-05-20;0,60958482;Biomasa
2021-05-20;0,24107192;Eólica
2021-05-20;0,96641485;Solar
2021-05-21;0,81382173;Biomasa
2021-05-21;0,30676829;Eólica
2021-05-21;0,94184385;Solar
2021-05-22;1,01779813;Biomasa
2021-05-22;0,31448914;Eólica
2021-05-22;0,67968336;Solar
2021-05-23;0,9265663;Biomasa
2021-05-23;0,28760928;Eólica
2021-05-23;0,29485799;Solar
2021-05-24;1,07802245;Biomasa
2021-05-24;0,25678245;Eólica
2021-05-24;0,485373;Solar
2021-05-25;1,04504765;Biomasa
2021-05-25;0,31615709;Eólica
2021-05-25;0,36462923;Solar
2021-05-26;0,95251228;Biomasa
2021-05-26;0,25386919;Eólica
2021-05-26;0,79270115;Solar
2021-05-27;0,86827983;Biomasa
2021-05-27;0,15838633;Eólica
2021-05-27;0,50509433;Solar
2021-05-28;0,7705907;Biomasa
2021-05-28;0,17461433;Eólica
2021-05-28;0,78104836;Solar
2021-05-29;0,57795701;Biomasa
2021-05-29;0,17012069;Eólica
2021-05-29;0,67650378;Solar
2021-05-30;0,95675453;Biomasa
2021-05-30;0,22643032;Eólica
2021-05-30;0,6006519;Solar
2021-05-31;0,99428497;Biomasa
2021-05-31;0,23803362;Eólica
2021-05-31;0,82276003;Solar
2021-06-01;0,93813029;Biomasa
2021-06-01;0,19317508;Eólica
2021-06-01;0,63828104;Solar
2021-06-02;1,30065914;Biomasa
2021-06-02;0,19367663;Eólica
2021-06-02;0,75712096;Solar
2021-06-03;1,49880479;Biomasa
2021-06-03;0,20484189;Eólica
2021-06-03;0,77577527;Solar
2021-06-04;1,92151013;Biomasa
2021-06-04;0,23890179;Eólica
2021-06-04;0,637901;Solar
2021-06-05;2,31601072;Biomasa
2021-06-05;0,25282625;Eólica
2021-06-05;0,78402752;Solar
2021-06-06;2,6481923;Biomasa
2021-06-06;0,23089888;Eólica
2021-06-06;0,81575275;Solar
2021-06-07;2,65574777;Biomasa
2021-06-07;0,22538968;Eólica
2021-06-07;0,53324466;Solar
2021-06-08;2,61432353;Biomasa
2021-06-08;0,17131977;Eólica
