Fecha;Tipo fuente;Suma de Generación
2021-10-06;Hidráulica;190,96034
2021-10-07;Combustible fósil;33,28810962
2021-10-07;Hidráulica;193,084484
2021-10-08;Combustible fósil;32,54156522
2021-10-08;Hidráulica;191,0820466
2021-10-09;Combustible fósil;29,89717654
2021-10-09;Hidráulica;183,0874338
2021-10-10;Combustible fósil;27,09996463
2021-10-10;Hidráulica;168,9607718
2021-10-11;Combustible fósil;29,79256829
2021-10-11;Hidráulica;186,3622356
2021-10-12;Combustible fósil;30,47320602
2021-10-12;Hidráulica;190,0815915
2021-10-13;Combustible fósil;29,48047546
2021-10-13;Hidráulica;188,355902
2021-10-14;Combustible fósil;29,84629545
2021-10-14;Hidráulica;191,5858971
2021-10-15;Combustible fósil;32,8670004
2021-10-15;Hidráulica;189,539465
2021-10-16;Combustible fósil;27,52076236
2021-10-16;Hidráulica;180,4829549
2021-10-17;Combustible fósil;25,17384619
2021-10-17;Hidráulica;162,6832393
2021-10-18;Combustible fósil;27,35038279
2021-10-18;Hidráulica;168,8643008
2021-10-19;Combustible fósil;28,93540393
2021-10-19;Hidráulica;187,6227052
2021-10-20;Combustible fósil;28,39901651
2021-10-20;Hidráulica;185,3910659
2021-10-21;Combustible fósil;31,50966493
2021-10-21;Hidráulica;181,0880886
2021-10-22;Combustible fósil;34,41172591
2021-10-22;Hidráulica;181,1654459
2021-10-23;Combustible fósil;26,28864532
2021-10-23;Hidráulica;178,767628
2021-10-24;Combustible fósil;25,77830616
2021-10-24;Hidráulica;161,0919981
2021-10-25;Combustible fósil;27,95450883
2021-10-25;Hidráulica;183,0070651
2021-10-26;Combustible fósil;28,94193083
2021-10-26;Hidráulica;183,945244
2021-10-27;Combustible fósil;31,48332452
2021-10-27;Hidráulica;180,9007048
2021-10-28;Combustible fósil;30,20332534
2021-10-28;Hidráulica;184,5463645
2021-10-29;Combustible fósil;32,56785454
2021-10-29;Hidráulica;175,3111688
2021-10-30;Combustible fósil;27,91237253
2021-10-30;Hidráulica;171,2014099
2021-10-31;Combustible fósil;27,19232103
2021-10-31;Hidráulica;151,7490734
2021-11-01;Combustible fósil;27,0923691
2021-11-01;Hidráulica;153,112866
2021-11-02;Combustible fósil;31,46825476
2021-11-02;Hidráulica;173,8879691
2021-11-03;Combustible fósil;28,95724643
2021-11-03;Hidráulica;180,3914658
2021-11-04;Combustible fósil;27,76661433
2021-11-04;Hidráulica;182,3485594
2021-11-05;Combustible fósil;27,16997806
2021-11-05;Hidráulica;187,784594
2021-11-06;Combustible fósil;27,54657784
2021-11-06;Hidráulica;180,7466444
2021-11-07;Combustible fósil;26,46310427
2021-11-07;Hidráulica;165,5042376
2021-11-08;Combustible fósil;28,94425898
2021-11-08;Hidráulica;184,4422234
2021-11-09;Combustible fósil;29,55936128
2021-11-09;Hidráulica;185,3949638
2021-11-10;Combustible fósil;29,03925055
2021-11-10;Hidráulica;184,6019437
2021-11-11;Combustible fósil;29,80313785
2021-11-11;Hidráulica;185,3774379
2021-11-12;Combustible fósil;29,35323538
2021-11-12;Hidráulica;186,324208
2021-11-13;Combustible fósil;29,05199359
2021-11-13;Hidráulica;177,0092952
2021-11-14;Combustible fósil;26,28410193
2021-11-14;Hidráulica;161,2696774
2021-11-15;Combustible fósil;26,3479387
2021-11-15;Hidráulica;164,7460196
2021-11-16;Combustible fósil;29,19524935
2021-11-16;Hidráulica;188,2783612
2021-11-17;Combustible fósil;30,30681815
2021-11-17;Hidráulica;186,6428829
2021-11-18;Combustible fósil;29,85559495
2021-11-18;Hidráulica;189,0314169
2021-11-19;Combustible fósil;31,81365425
2021-11-19;Hidráulica;184,2222069
2021-11-20;Combustible fósil;29,53215891
2021-11-20;Hidráulica;179,7639884
2021-11-21;Combustible fósil;29,63605428
2021-11-21;Hidráulica;158,4539036
2021-11-22;Combustible fósil;30,26617391
2021-11-22;Hidráulica;180,7330329
